fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9076,CITY CNTB MEDICARE TAX,35305550.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9097,FOR CAPITAL CONSTRUCTION,4655000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9121,LOBBYIST COSTS,480000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9176,WEST NILE VIRUS PROGRAM,425000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9180,WORLD BUSINESS CHICAGO,1200000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9240,CTA CAPITAL,16000000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9241,COMMUNITY NAVIGATOR SERVICES,1000000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9291,LEGAL PROTECTION FUND,1300000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9294,CPS SECURITY,14000000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9377,TRANSFER TO DEBT SERVICE,118000000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9540,PAYT GEN/OB-CERTIFICATE,4955500.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9635,REIMB MIDWAY - FIRE SALARIES,2852109.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9636,REIMB MIDWAY - FIRE BENEFITS,1467410.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9638,FOR CORP SUBSIDY OF CPL,15193000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9980,MUNICIPAL FUND PENSION ALLOCATION,81271000.00
LOCAL,0100,CORPORATE FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,9981,LABORERS' FUND PENSION ALLOCATION,19753000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,3,SCHEDULED WAGE ADJUSTMENTS,3442356.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,29,HMO PREMIUMS,6281710.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,42,TEXT FILE - EXTRA LONG,13531988.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,45,PREM TERM LIFE INSURANCE,167767.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,49,WORKERS' COMPENSATION,12000000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,51,UNEMPLOYMENT INSURANCE CLAIM,483710.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,52,MEDICAL CARE CLAIMS,452562.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,56,DENTAL PLAN PREMIUMS,688037.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,70,TUITION REIMBURSEMENT,40000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,121,INVESTIGATION COSTS-COMMITTEE ON FINANCE,602550.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,138,IT MAINTENANCE,2803046.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,139,IT DEVELOPMENT,3366200.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,2284243.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,142,ACCOUNTING AND AUDITING,442500.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,2268.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,172,INSURANCE PREMIUMS,1000000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,902,INTEREST ON BONDS,123152599.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,905,MSD USER CHARGES,13000000.00
LOCAL,0200,WATER FUND,99,FINANCE GENERAL,2005,FINANCE GENERAL,912,PAYMENT OF BONDS,73835534.00
