fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropration,revised_appropriation,recommendation
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,197,TELEPHONE-MAINTENANCE,5000,5000,4870
LOCAL,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,350,STATIONERY AND OFFICE SUPPL,59310,59310,48836
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,5,SALARIES AND WAGES - ON PAYROLL,3034659,3034659,2917299
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,11,CONTRACT WAGE-SALARY,91510,91510,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,15,SCHEDULE SALARY ADJ,7825,7825,8629
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,20,OVERTIME,4700,4700,4700
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,130,POSTAGE,7748,7748,7748
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,64668,64668,66668
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,149,SOFTWARE MAINT/LICENSING,18800,18800,18800
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,150,PUBLICATN & REPRODT-OUT,1250,1250,1250
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,157,RENTAL EQUIPMENT AND SERVICES,33412,33412,33412
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,162,REPAIR/MAINT EQUIPMENT,4051,4051,4051
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,166,"DUES, SUBSC & MEM",7400,7400,7400
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,169,TECHNICAL MEETING COSTS,570,570,1270
GRANTS,890,HEAD START,27,FINANCE,2801,DHS ACCOUNTING,15,SCHEDULE SALARY ADJ,0,0,0
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,181,MOBILE COMM SERVICES,5300,5300,5000
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,190,TELEPHONE-CENTREX,112000,112000,119000
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,196,DATA CIRCUITS,7200,7200,9300
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,197,TELEPHONE-MAINTENANCE,39000,39000,39000
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,245,REIMBURSEMENT TRAVELERS,1200,1200,1200
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,270,LOCAL TRANSPORTATION,600,600,600
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,348,BOOKS AND RELATED MTL,4300,4300,4300
LOCAL,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,350,STATIONERY AND OFFICE SUPPL,22700,22700,22700
