fund_type,fund_code,fund_description,department_code,department_description,org,org_description,appropriation_account,appropriation_account_description,_appropriation,_revised_appropriation,_recommendation
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2250,2250 - COMMITTEE ON BUILDINGS,300,COMMODITIES AND MATERIALS,4000,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2250,2250 - COMMITTEE ON BUILDINGS,700,CONTINGENCIES,4000,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2250,2250 - COMMITTEE ON BUILDINGS,0,PERSONNEL SERVICES,90014,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2255,2255 - COMM ON ECONOMIC/CAPITAL/TECH,300,COMMODITIES AND MATERIALS,500,500,500
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2255,2255 - COMM ON ECONOMIC/CAPITAL/TECH,100,CONTRACTUAL SERVICES,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2255,2255 - COMM ON ECONOMIC/CAPITAL/TECH,700,CONTINGENCIES,1000,1000,1000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2255,2255 - COMM ON ECONOMIC/CAPITAL/TECH,0,PERSONNEL SERVICES,114635,107635,107635
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2260,2260 - COMMITTEE ON EDUCATION & CHILD,700,CONTINGENCIES,2000,2000,2000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2260,2260 - COMMITTEE ON EDUCATION & CHILD,100,CONTRACTUAL SERVICES,3000,3000,3000
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2260,2260 - COMMITTEE ON EDUCATION & CHILD,0,PERSONNEL SERVICES,210609,200609,200609
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2270,2270 - COMMITTEE ON ENERGY/ENVIR/UTIL,100,CONTRACTUAL SERVICES,1500,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2270,2270 - COMMITTEE ON ENERGY/ENVIR/UTIL,400,EQUIPMENT,3535,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2270,2270 - COMMITTEE ON ENERGY/ENVIR/UTIL,0,PERSONNEL SERVICES,108272,0,0
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2275,2275 - COMM ON ZONING/LANDMARK/BUILD,100,CONTRACTUAL SERVICES,5300,5300,5300
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2275,2275 - COMM ON ZONING/LANDMARK/BUILD,300,COMMODITIES AND MATERIALS,94700,74700,74700
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2275,2275 - COMM ON ZONING/LANDMARK/BUILD,0,PERSONNEL SERVICES,305134,305134,305134
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2280,2280 - COMMITTEE ON HOUSING AND RE,300,COMMODITIES AND MATERIALS,400,400,400
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2280,2280 - COMMITTEE ON HOUSING AND RE,100,CONTRACTUAL SERVICES,1550,1550,1550
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2280,2280 - COMMITTEE ON HOUSING AND RE,700,CONTINGENCIES,2150,2150,2150
LOCAL,100,CORPORATE FUND,15,CITY COUNCIL,2280,2280 - COMMITTEE ON HOUSING AND RE,0,PERSONNEL SERVICES,202406,192406,192406
