fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,appropriation,revised_appropriation,recommendation
LOCAL,0200,Water Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,PROFESSIONAL AND TECHNICAL SERVICES,1000.00,1000.00,1000.00
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0005,SALARIES AND WAGES - ON PAYROLL,302500.00,302500.00,291500.00
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0015,SCHEDULE SALARY ADJUSTMENTS,8783.00,8783.00,5542.00
LOCAL,0B21,Tax Increment Financing Administration Fund,5,Office of Budget and Management,2005,Office of Budget and Management,0140,PROFESSIONAL AND TECHNICAL SERVICES,1500.00,1500.00,1500.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0005,SALARIES AND WAGES - ON PAYROLL,1600849.00,1600849.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0015,SCHEDULE SALARY ADJUSTMENTS,38245.00,38245.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0138,IT MAINTENANCE,4641709.00,4641709.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0140,PROFESSIONAL AND TECHNICAL SERVICES,1453850.00,1453850.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0149,SOFTWARE MAINTENANCE AND LICENSING,14321643.00,14321643.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0162,REPAIR/MAINT EQUIPMENT,1919995.00,1919995.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0166,DUES  SUBSC & MEM,540542.00,540542.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0169,TECHNICAL MEETING COSTS,61672.00,61672.00,0.00
LOCAL,0100,Corporate Fund,6,Department of Technology and Innovation,2145,Bureau of Information Technology,0181,MOBILE COMMUNICATION SERVICES,1380668.00,1380668.00,0.00
