year,functional_category,department_number,appropriation_account,fund_type,fund_code,amount
2011,Finance & Administration,25,0130,LOCAL,0100,35000.0
2011,Finance & Administration,25,0130,LOCAL,0300,724720.0
2011,Finance & Administration,25,0140,LOCAL,0300,638600.0
2011,Finance & Administration,25,0150,LOCAL,0100,25485.0
2011,Finance & Administration,25,0150,LOCAL,0300,5000.0
2011,Finance & Administration,25,0152,LOCAL,0100,31450.0
2011,Finance & Administration,25,0154,LOCAL,0300,13000.0
2011,Finance & Administration,25,0157,LOCAL,0300,19700.0
2011,Finance & Administration,25,0159,LOCAL,0100,258000.0
2011,Finance & Administration,25,0162,LOCAL,0100,10000.0
2011,Finance & Administration,25,0162,LOCAL,0300,132000.0
2011,Finance & Administration,25,0181,LOCAL,0300,21658.0
2011,Finance & Administration,25,0190,LOCAL,0100,39000.0
2011,Finance & Administration,25,0197,LOCAL,0100,5700.0
2011,Finance & Administration,25,0229,LOCAL,0300,28000.0
2011,Finance & Administration,25,0338,LOCAL,0300,594810.0
2011,Finance & Administration,25,0350,LOCAL,0100,106540.0
2011,Finance & Administration,25,0350,LOCAL,0300,90000.0
2011,Finance & Administration,25,9438,LOCAL,0300,24816.0
2011,Finance & Administration,27,0005,CDBG,0K37,1036048.0
2011,Finance & Administration,27,0005,GRANTS,0585,86377.0
2011,Finance & Administration,27,0005,GRANTS,0889,65950.0
2011,Finance & Administration,27,0005,GRANTS,0890,116523.0
2011,Finance & Administration,27,0005,LOCAL,0100,2386367.0
2011,Finance & Administration,27,0005,LOCAL,0100,8273899.0
2011,Finance & Administration,27,0005,LOCAL,0200,212437.0
2011,Finance & Administration,27,0005,LOCAL,0610,371212.0
2011,Finance & Administration,27,0005,LOCAL,0740,1938270.0
2011,Finance & Administration,27,0005,LOCAL,0B21,276124.0
2011,Finance & Administration,27,0015,CDBG,0K37,6325.0
2011,Finance & Administration,27,0015,GRANTS,0890,1494.0
2011,Finance & Administration,27,0015,LOCAL,0100,12836.0
2011,Finance & Administration,27,0015,LOCAL,0100,52624.0
2011,Finance & Administration,27,0015,LOCAL,0200,2723.0
2011,Finance & Administration,27,0015,LOCAL,0610,2389.0
2011,Finance & Administration,27,0015,LOCAL,0740,4068.0
2011,Finance & Administration,27,0020,LOCAL,0100,4700.0
2011,Finance & Administration,27,0020,LOCAL,0100,10000.0
2011,Finance & Administration,27,0020,LOCAL,0610,3000.0
2011,Finance & Administration,27,0020,LOCAL,0740,12000.0
2011,Finance & Administration,27,0030,CDBG,0K37,-37148.0
2011,Finance & Administration,27,0030,LOCAL,0100,-473040.0
2011,Finance & Administration,27,0030,LOCAL,0100,-98995.0
2011,Finance & Administration,27,0030,LOCAL,0200,-9390.0
2011,Finance & Administration,27,0030,LOCAL,0610,-5821.0
2011,Finance & Administration,27,0030,LOCAL,0740,-89745.0
2011,Finance & Administration,27,0030,LOCAL,0B21,-18081.0
2011,Finance & Administration,27,0038,CDBG,0K37,20000.0
2011,Finance & Administration,27,0038,LOCAL,0100,15000.0
2011,Finance & Administration,27,0039,CDBG,0K37,20000.0
2011,Finance & Administration,27,0039,LOCAL,0100,11000.0
2011,Finance & Administration,27,0039,LOCAL,0100,50000.0
2011,Finance & Administration,27,0039,LOCAL,0610,8000.0
2011,Finance & Administration,27,0039,LOCAL,0740,20000.0
2011,Finance & Administration,27,0044,CDBG,0K37,386044.0
2011,Finance & Administration,27,0044,GRANTS,0585,31598.0
2011,Finance & Administration,27,0044,GRANTS,0889,24126.0
2011,Finance & Administration,27,0044,GRANTS,0890,46789.0
2011,Finance & Administration,27,0130,LOCAL,0100,14000.0
2011,Finance & Administration,27,0130,LOCAL,0100,137308.0
2011,Finance & Administration,27,0130,LOCAL,0610,1820.0
2011,Finance & Administration,27,0130,LOCAL,0740,7500.0
2011,Finance & Administration,27,0140,CDBG,0K37,40950.0
2011,Finance & Administration,27,0140,LOCAL,0100,67068.0
2011,Finance & Administration,27,0140,LOCAL,0100,88800.0
2011,Finance & Administration,27,0140,LOCAL,0200,6552.0
2011,Finance & Administration,27,0140,LOCAL,0314,15675.0
2011,Finance & Administration,27,0140,LOCAL,0610,25552.0
